TeamName,Season,Strength
Dynamo Dresden,until-1994-1995,0
Hansa Rostock,until-1995-1996,2
Hansa Rostock,until-1996-1997,1
Hansa Rostock,until-1997-1998,2
Hansa Rostock,until-1998-1999,2
Hansa Rostock,until-1999-2000,1
Hansa Rostock,until-2000-2001,1
Hansa Rostock,until-2001-2002,1
Hansa Rostock,until-2002-2003,1
Hansa Rostock,until-2003-2004,1
Hansa Rostock,until-2004-2005,1
Hansa Rostock,until-2007-2008,1
Unterhaching,until-1999-2000,2
Unterhaching,until-2000-2001,1
Ulm,until-1999-2000,0
Hannover 96,until-2002-2003,1
Hannover 96,until-2003-2004,1
Hannover 96,until-2004-2005,1
Hannover 96,until-2005-2006,1
Hannover 96,until-2006-2007,1
Hannover 96,until-2007-2008,1
Hannover 96,until-2008-2009,1
Hannover 96,until-2009-2010,1
Hannover 96,until-2010-2011,1
Hannover 96,until-2011-2012,1
Hannover 96,until-2012-2013,1
Hannover 96,until-2013-2014,1
Hannover 96,until-2014-2015,1
Hannover 96,until-2015-2016,1
Alemannia Aachen,until-2006-2007,0
SV Werder Bremen,until-1994-1995,3
SV Werder Bremen,until-1995-1996,2
SV Werder Bremen,until-1996-1997,2
SV Werder Bremen,until-1997-1998,2
SV Werder Bremen,until-1998-1999,2
SV Werder Bremen,until-1999-2000,2
SV Werder Bremen,until-2000-2001,2
SV Werder Bremen,until-2001-2002,2
SV Werder Bremen,until-2002-2003,2
SV Werder Bremen,until-2003-2004,2
SV Werder Bremen,until-2004-2005,2
SV Werder Bremen,until-2005-2006,2
SV Werder Bremen,until-2006-2007,2
SV Werder Bremen,until-2007-2008,2
SV Werder Bremen,until-2008-2009,2
SV Werder Bremen,until-2009-2010,2
SV Werder Bremen,until-2010-2011,2
SV Werder Bremen,until-2011-2012,2
SV Werder Bremen,until-2012-2013,2
SV Werder Bremen,until-2013-2014,2
SV Werder Bremen,until-2014-2015,2
SV Werder Bremen,until-2015-2016,2
SC Freiburg,until-1994-1995,3
SC Freiburg,until-1995-1996,2
SC Freiburg,until-1996-1997,1
SC Freiburg,until-1998-1999,1
SC Freiburg,until-1999-2000,1
SC Freiburg,until-2000-2001,1
SC Freiburg,until-2001-2002,1
SC Freiburg,until-2003-2004,1
SC Freiburg,until-2004-2005,1
SC Freiburg,until-2009-2010,1
SC Freiburg,until-2010-2011,1
SC Freiburg,until-2011-2012,1
SC Freiburg,until-2012-2013,1
SC Freiburg,until-2013-2014,1
SC Freiburg,until-2014-2015,1
1. FC Kaiserslautern,until-1994-1995,3
1. FC Kaiserslautern,until-1995-1996,2
1. FC Kaiserslautern,until-1997-1998,3
1. FC Kaiserslautern,until-1998-1999,3
1. FC Kaiserslautern,until-1999-2000,3
1. FC Kaiserslautern,until-2000-2001,3
1. FC Kaiserslautern,until-2001-2002,3
1. FC Kaiserslautern,until-2002-2003,2
1. FC Kaiserslautern,until-2003-2004,2
1. FC Kaiserslautern,until-2004-2005,2
1. FC Kaiserslautern,until-2005-2006,2
1. FC Kaiserslautern,until-2010-2011,2
1. FC Kaiserslautern,until-2011-2012,2
Borussia Mönchengladbach,until-1994-1995,3
Borussia Mönchengladbach,until-1995-1996,3
Borussia Mönchengladbach,until-1996-1997,3
Borussia Mönchengladbach,until-1997-1998,2
Borussia Mönchengladbach,until-1998-1999,1
Borussia Mönchengladbach,until-2001-2002,1
Borussia Mönchengladbach,until-2002-2003,1
Borussia Mönchengladbach,until-2003-2004,1
Borussia Mönchengladbach,until-2004-2005,1
Borussia Mönchengladbach,until-2005-2006,1
Borussia Mönchengladbach,until-2006-2007,1
Borussia Mönchengladbach,until-2008-2009,1
Borussia Mönchengladbach,until-2009-2010,1
Borussia Mönchengladbach,until-2010-2011,1
Borussia Mönchengladbach,until-2011-2012,1
Borussia Mönchengladbach,until-2012-2013,1
Borussia Mönchengladbach,until-2013-2014,1
Borussia Mönchengladbach,until-2014-2015,1
Borussia Mönchengladbach,until-2015-2016,1
FC Bayern Munich,until-1994-1995,2
FC Bayern Munich,until-1995-1996,3
FC Bayern Munich,until-1996-1997,3
FC Bayern Munich,until-1997-1998,3
FC Bayern Munich,until-1998-1999,3
FC Bayern Munich,until-1999-2000,3
FC Bayern Munich,until-2000-2001,3
FC Bayern Munich,until-2001-2002,3
FC Bayern Munich,until-2002-2003,3
FC Bayern Munich,until-2003-2004,3
FC Bayern Munich,until-2004-2005,3
FC Bayern Munich,until-2005-2006,3
FC Bayern Munich,until-2006-2007,3
FC Bayern Munich,until-2007-2008,3
FC Bayern Munich,until-2008-2009,3
FC Bayern Munich,until-2009-2010,3
FC Bayern Munich,until-2010-2011,3
FC Bayern Munich,until-2011-2012,3
FC Bayern Munich,until-2012-2013,3
FC Bayern Munich,until-2013-2014,3
FC Bayern Munich,until-2014-2015,3
FC Bayern Munich,until-2015-2016,3
Bayer 04 Leverkusen,until-1994-1995,2
Bayer 04 Leverkusen,until-1995-1996,1
Bayer 04 Leverkusen,until-1996-1997,2
Bayer 04 Leverkusen,until-1997-1998,3
Bayer 04 Leverkusen,until-1998-1999,3
Bayer 04 Leverkusen,until-1999-2000,3
Bayer 04 Leverkusen,until-2000-2001,3
Bayer 04 Leverkusen,until-2001-2002,3
