TeamName,Season,Strength
Leicester City,until-2003-2004,1
Leicester City,until-2014-2015,1
Leicester City,until-2015-2016,1
Ipswich Town,until-1994-1995,0
Ipswich Town,until-2000-2001,1
Ipswich Town,until-2001-2002,0
Middlesbrough,until-1995-1996,1
Middlesbrough,until-1996-1997,0
Middlesbrough,until-1998-1999,1
Middlesbrough,until-1999-2000,1
Middlesbrough,until-2000-2001,1
Middlesbrough,until-2001-2002,1
Middlesbrough,until-2002-2003,1
Middlesbrough,until-2003-2004,1
Middlesbrough,until-2004-2005,1
Middlesbrough,until-2005-2006,1
Middlesbrough,until-2006-2007,1
Middlesbrough,until-2007-2008,1
Middlesbrough,until-2008-2009,1
Bolton Wanderers,until-1995-1996,0
Bolton Wanderers,until-1997-1998,0
Bolton Wanderers,until-2001-2002,0
Bolton Wanderers,until-2002-2003,0
Bolton Wanderers,until-2003-2004,0
Bolton Wanderers,until-2004-2005,0
Bolton Wanderers,until-2005-2006,0
Bolton Wanderers,until-2006-2007,1
Bolton Wanderers,until-2007-2008,0
Bolton Wanderers,until-2008-2009,1
Bolton Wanderers,until-2009-2010,1
Bolton Wanderers,until-2010-2011,1
Bolton Wanderers,until-2011-2012,1
Derby County,until-1996-1997,1
Derby County,until-1997-1998,1
Derby County,until-1998-1999,2
Derby County,until-1999-2000,1
Derby County,until-2000-2001,1
Derby County,until-2001-2002,1
Derby County,until-2007-2008,0
Sunderland,until-1996-1997,0
Sunderland,until-1999-2000,1
Sunderland,until-2000-2001,2
Sunderland,until-2001-2002,1
Sunderland,until-2002-2003,0
Sunderland,until-2005-2006,0
Sunderland,until-2007-2008,0
Sunderland,until-2008-2009,0
Sunderland,until-2009-2010,0
Sunderland,until-2010-2011,0
Sunderland,until-2011-2012,1
Sunderland,until-2012-2013,0
Sunderland,until-2013-2014,1
Sunderland,until-2014-2015,0
Sunderland,until-2015-2016,0
Barnsley,until-1997-1998,0
Charlton Athletic,until-1998-1999,0
Charlton Athletic,until-2000-2001,1
Charlton Athletic,until-2001-2002,1
Charlton Athletic,until-2002-2003,1
Charlton Athletic,until-2003-2004,1
Charlton Athletic,until-2004-2005,1
Charlton Athletic,until-2005-2006,1
Charlton Athletic,until-2006-2007,1
Bradford City,until-1999-2000,0
Bradford City,until-2000-2001,0
Watford,until-1999-2000,0
Watford,until-2006-2007,0
Watford,until-2015-2016,0
Fulham,until-2001-2002,1
Fulham,until-2002-2003,1
Fulham,until-2003-2004,1
Fulham,until-2004-2005,1
Fulham,until-2005-2006,1
Fulham,until-2006-2007,1
Fulham,until-2007-2008,1
Fulham,until-2008-2009,1
Fulham,until-2009-2010,1
Fulham,until-2010-2011,1
Fulham,until-2011-2012,1
Fulham,until-2012-2013,1
Fulham,until-2013-2014,1
Birmingham City,until-2002-2003,1
Birmingham City,until-2003-2004,1
Birmingham City,until-2004-2005,1
Birmingham City,until-2005-2006,1
Birmingham City,until-2007-2008,1
Birmingham City,until-2009-2010,1
Birmingham City,until-2010-2011,1
Portsmouth,until-2003-2004,1
Portsmouth,until-2004-2005,1
Portsmouth,until-2005-2006,0
Portsmouth,until-2006-2007,1
Portsmouth,until-2007-2008,1
Portsmouth,until-2008-2009,1
Portsmouth,until-2009-2010,1
Wigan Athletic,until-2005-2006,2
Wigan Athletic,until-2006-2007,1
Wigan Athletic,until-2007-2008,1
Wigan Athletic,until-2008-2009,1
Wigan Athletic,until-2009-2010,1
Wigan Athletic,until-2010-2011,1
Wigan Athletic,until-2011-2012,1
Wigan Athletic,until-2012-2013,0
Reading,until-2006-2007,2
Reading,until-2007-2008,1
Reading,until-2012-2013,0
Sheffield United,until-2006-2007,0
Stoke City,until-2008-2009,1
Stoke City,until-2009-2010,1
Stoke City,until-2010-2011,1
Stoke City,until-2011-2012,1
Stoke City,until-2012-2013,1
Stoke City,until-2013-2014,1
Stoke City,until-2014-2015,1
Stoke City,until-2015-2016,1
Hull City,until-2008-2009,0
Hull City,until-2009-2010,0
Hull City,until-2013-2014,0
Hull City,until-2014-2015,0
Burnley,until-2009-2010,0
Burnley,until-2014-2015,0
Blackpool,until-2010-2011,0
Swansea City,until-2011-2012,1
Swansea City,until-2012-2013,2
Swansea City,until-2013-2014,1
Swansea City,until-2014-2015,2
Swansea City,until-2015-2016,1
Cardiff City,until-2013-2014,0
